Generation,Average,Median,Maximum,Minimum
0,19.505555555555553,9.666666666666666,161.0,8.333333333333334
1,23.761111111111116,13.666666666666666,163.0,8.666666666666666
2,33.76111111111111,21.333333333333336,159.66666666666666,8.666666666666666
3,47.22777777777778,36.5,176.0,9.666666666666666
4,52.19444444444445,40.16666666666667,173.33333333333334,9.0
5,60.10555555555555,50.0,200.0,9.0
6,74.97222222222223,63.83333333333333,200.0,9.0
7,91.47222222222223,83.33333333333333,200.0,9.333333333333334
8,105.37777777777778,109.16666666666667,200.0,10.0
9,114.04444444444444,108.66666666666666,200.0,9.333333333333334
10,142.91666666666666,157.0,200.0,18.0
11,157.12222222222223,182.5,200.0,34.666666666666664
12,163.43333333333334,200.0,200.0,9.0
13,186.86111111111111,200.0,200.0,68.0
14,167.7222222222222,200.0,200.0,9.333333333333334
15,183.14444444444445,200.0,200.0,10.0
16,173.4611111111111,200.0,200.0,9.0
17,183.7,200.0,200.0,10.0
18,184.57222222222222,200.0,200.0,9.333333333333334
19,172.41111111111113,200.0,200.0,9.333333333333334
20,181.3277777777778,200.0,200.0,9.333333333333334
21,184.5,200.0,200.0,9.333333333333334
22,186.67777777777778,200.0,200.0,9.0
23,179.8222222222222,200.0,200.0,10.0
24,182.82222222222222,200.0,200.0,36.666666666666664
25,178.86111111111111,200.0,200.0,9.666666666666666
26,182.15555555555554,200.0,200.0,8.666666666666666
27,179.36111111111114,200.0,200.0,8.666666666666666
28,185.6722222222222,200.0,200.0,9.666666666666666
29,195.94444444444446,200.0,200.0,127.0
