id,Algorithm,Environment,Repetitions,Repetition_id,Population,Generations,Survivors,Random survivors,n,Noise,Average,Median,Maximum,Minimum
0,UMDAc,CartPole-v0,10,0,60,30,0.5,0.3,10,0.0,183.63888888888886,200.0,200.0,12.666666666666666
1,UMDAc,CartPole-v0,10,1,60,30,0.5,0.3,10,0.0,184.05,200.0,200.0,14.666666666666666
2,UMDAc,CartPole-v0,10,2,60,30,0.5,0.3,10,0.0,174.19444444444443,200.0,200.0,9.0
3,UMDAc,CartPole-v0,10,3,60,30,0.5,0.3,10,0.0,179.55,200.0,200.0,9.333333333333334
4,UMDAc,CartPole-v0,10,4,60,30,0.5,0.3,10,0.0,175.06666666666666,200.0,200.0,9.333333333333334
5,UMDAc,CartPole-v0,10,5,60,30,0.5,0.3,10,0.0,185.07222222222222,200.0,200.0,9.333333333333334
6,UMDAc,CartPole-v0,10,6,60,30,0.5,0.3,10,0.0,182.29444444444445,200.0,200.0,8.666666666666666
7,UMDAc,CartPole-v0,10,7,60,30,0.5,0.3,10,0.0,191.16111111111113,200.0,200.0,9.0
8,UMDAc,CartPole-v0,10,8,60,30,0.5,0.3,10,0.0,183.1888888888889,200.0,200.0,9.0
9,UMDAc,CartPole-v0,10,9,60,30,0.5,0.3,10,0.0,178.3,200.0,200.0,10.0
10,UMDAc,CartPole-v0,10,0,60,30,0.5,0.3,10,0.0,168.26666666666668,200.0,200.0,8.666666666666666
11,UMDAc,CartPole-v0,10,1,60,30,0.5,0.3,10,0.0,173.8777777777778,200.0,200.0,8.666666666666666
12,UMDAc,CartPole-v0,10,2,60,30,0.5,0.3,10,0.0,180.73888888888888,200.0,200.0,9.0
13,UMDAc,CartPole-v0,10,3,60,30,0.5,0.3,10,0.0,161.0,200.0,200.0,8.666666666666666
14,UMDAc,CartPole-v0,10,4,60,30,0.5,0.3,10,0.0,149.78888888888886,200.0,200.0,8.666666666666666
15,UMDAc,CartPole-v0,10,5,60,30,0.5,0.3,10,0.0,195.66111111111113,200.0,200.0,129.33333333333334
16,UMDAc,CartPole-v0,10,6,60,30,0.5,0.3,10,0.0,181.43333333333334,200.0,200.0,9.333333333333334
17,UMDAc,CartPole-v0,10,7,60,30,0.5,0.3,10,0.0,194.9611111111111,200.0,200.0,9.666666666666666
18,UMDAc,CartPole-v0,10,8,60,30,0.5,0.3,10,0.0,166.16666666666666,200.0,200.0,9.333333333333334
19,UMDAc,CartPole-v0,10,9,60,30,0.5,0.3,10,0.0,191.7888888888889,200.0,200.0,61.0
20,UMDAc,LunarLander-v2,10,0,216,108,0.5,0.0,36,0.0,192.9224579550944,197.78938270753247,291.07373288549536,42.24320298004046
21,UMDAc,LunarLander-v2,10,1,216,108,0.5,0.0,36,0.0,217.90678020045164,221.47433699550953,297.1125495629758,-7.580968440131277
22,UMDAc,LunarLander-v2,10,2,216,108,0.5,0.0,36,0.0,198.54668774699422,201.2524827628499,293.8459131366117,40.91573580004412
23,UMDAc,LunarLander-v2,10,3,216,108,0.5,0.0,36,0.0,151.67436578894197,151.24648239077763,268.50798302382134,43.81898851085143
24,UMDAc,LunarLander-v2,10,4,216,108,0.5,0.0,36,0.0,174.0854781963129,170.63414705304325,263.6626297777694,43.90784479470721
25,UMDAc,LunarLander-v2,10,5,216,108,0.5,0.0,36,0.0,194.27550605727737,199.68277671715848,296.32764360395,37.63485061822312
26,UMDAc,LunarLander-v2,10,6,216,108,0.5,0.0,36,0.0,186.06887422301966,186.5332033308834,290.6025979018964,82.11154545922675
27,UMDAc,LunarLander-v2,10,7,216,108,0.5,0.0,36,0.0,153.90244199806438,156.33452201233683,223.07302463793351,76.95420842170036
28,UMDAc,LunarLander-v2,10,8,216,108,0.5,0.0,36,0.0,205.42425047896796,207.77190094992022,293.62072394916186,70.1811852966632
29,UMDAc,LunarLander-v2,10,9,216,108,0.5,0.0,36,0.0,212.89961899272336,221.51979767612318,301.2621652758122,65.05998910521153
30,UMDAc,LunarLanderContinuous-v2,10,0,216,108,0.5,0.0,36,0.0,222.09947210002906,217.33310995640915,309.9872369019943,80.27297237620449
31,UMDAc,LunarLanderContinuous-v2,10,1,216,108,0.5,0.0,36,0.0,185.43854178454276,184.5669127451278,292.6771140495119,38.93084990718258
32,UMDAc,LunarLanderContinuous-v2,10,2,216,108,0.5,0.0,36,0.0,213.30631106439887,209.51503644782127,315.20647325312456,82.14673057616255
33,UMDAc,LunarLanderContinuous-v2,10,3,216,108,0.5,0.0,36,0.0,186.25487747330348,189.81278369825492,299.48472010252686,23.44867940890055
34,UMDAc,LunarLanderContinuous-v2,10,4,216,108,0.5,0.0,36,0.0,204.8555700182303,202.97132921518568,310.29207161004166,43.171393697310236
35,UMDAc,LunarLanderContinuous-v2,10,5,216,108,0.5,0.0,36,0.0,215.1232632639658,218.09716458843693,309.8958718472759,66.91195305702071
36,UMDAc,LunarLanderContinuous-v2,10,6,216,108,0.5,0.0,36,0.0,132.00463074145608,135.74526000704236,178.9181527272458,-6.45434728989494
37,UMDAc,LunarLanderContinuous-v2,10,7,216,108,0.5,0.0,36,0.0,216.21466085863815,215.4216985700578,311.2129780355995,61.81005013396237
38,UMDAc,LunarLanderContinuous-v2,10,0,108,54,0.5,0.0,18,0.0,104.51321918741424,104.75324556825538,143.43865732384617,32.76122904992453
39,UMDAc,LunarLanderContinuous-v2,10,1,108,54,0.5,0.0,18,0.0,120.69041401191356,126.58148358619982,185.7244589921239,-61.66249567106012
40,UMDAc,LunarLanderContinuous-v2,10,2,108,54,0.5,0.0,18,0.0,92.58534339040644,97.36290439486797,147.52867040879244,13.086890577937872
41,UMDAc,LunarLanderContinuous-v2,10,3,108,54,0.5,0.0,18,0.0,117.71112124859297,112.37163273297924,212.61095359267173,-13.150725980892735
42,UMDAc,LunarLanderContinuous-v2,10,4,108,54,0.5,0.0,18,0.0,130.59202919536074,132.4024786754299,178.3899515056711,7.563116282109964
43,UMDAc,LunarLanderContinuous-v2,10,5,108,54,0.5,0.0,18,0.0,153.36325902725653,157.40363015231952,265.38563025953664,8.903313837314201
